Músicas,Álbuns,Artistas,Data de Lançamento,ISRC,Rank,Track Score,Explicit Track
100 MESSAGGI,100 MESSAGGI,Lazza,2/27/2024,ITUM72400349,"2,219",30.4,1
OUT OUT (feat. Charli XCX & Saweetie),OUT OUT (feat. Charli XCX & Saweetie),Joel Corry,8/13/2021,UK4ZF2100518,"2,218",30.4,0
Cï¿½ï¿½,VICE VERSA,Rauw Alejandro,6/25/2021,USSD12100296,"2,215",30.4,1
Whatï¿½ï¿½ï¿½,Scary Hours 2,Drake,3/5/2021,USUG12101041,"2,220",30.4,1
Turn On The Lights again.. (feat. Future),USB,Fred again..,1/17/2022,GBAHS2201001,"2,214",30.4,0
Despï¿½ï¿½dase ,"Boca Chueca, Vol. 1",Carin Leon,6/1/2024,USA2P2432330,"2,211",30.4,1
"Mommy, Mommy Give Me Yummy","Mommy, Mommy Give Me Yummy",D Billions,4/20/2021,AEA0Q2102685,"2,209",30.4,0
Illegal Weapon,Illegal Weapon,Garry Sandhu,9/25/2017,FRX201706358,"2,224",30.3,0
Starships,Crave Volume 7,Nicki Minaj,1/1/2012,USCM51200060,"2,225",30.3,1
Calidad,Calidad,Grupo Firme,7/12/2022,QZDQH2257609,"2,238",30.3,0
Watch Me,This Is A Challenge,Silento,12/16/2016,USAT21603705,"2,223",30.3,0
Send My Love (To Your New Lover),25,Adele,11/20/2015,GBBKS1500215,"2,234",30.3,0
Chakalitos,Chakalitos,Angi Fire,7/22/2023,USMH92305308,"2,229",30.3,0
No Hay Nadie Mï¿½,No Hay Nadie Mï¿½,Sebastian Yatra,1/26/2018,USUM71713890,"2,239",30.3,0
Rather Be (feat. Jess Glynne),I Cry When I Laugh,Clean Bandit,1/1/2013,GBAHS1300498,"2,236",30.3,0
Into Your Arms (feat. Ava Max),Into Your Arms (feat. Ava Max),Witt Lowry,6/8/2018,USAT21802013,"2,232",30.3,1
Ramenez la coupe ï¿½ï¿½ la ma,Ramenez la coupe ï¿½ï¿½ la ma,Vegedream,7/17/2018,UKGD81800015,"2,233",30.3,0
1000 Blunts,"Sing Me a Lullaby, My Sweet Temptation",$uicideboy$,7/29/2022,QZAPK2000271,"2,237",30.3,1
#BrooklynBloodPop!,#BrooklynBloodPop!,SyKo,7/27/2020,QZK6Q2049800,"2,230",30.3,1
Baby Songs,Baby Lullaby - Relaxing Piano Baby Lullabies Baby Songs and Nursery Rhymes for Baby Sleep and Newborn Natural Sleep Aid,Baby Lullaby,10/23/2014,USA2P1472414,"2,227",30.3,0
Mï¿½ï¿½dchen auf dem P,Mï¿½ï¿½dchen auf dem P,Luca-Dante Spadafora,5/12/2023,CH7812350872,"2,226",30.3,0
Cuando Te Besï¿,Cuando Te Besï¿,Becky G,8/2/2018,USSD11800274,"2,240",30.3,0
"Lutt Putt Gaya (From ""Dunki"")","Lutt Putt Gaya (From ""Dunki"")",Pritam,11/22/2023,INS182303353,"2,228",30.3,0
girl$,girl$,Dom Dolla,6/7/2024,USQX92401650,"2,235",30.3,0
Clout (feat. Cardi B),FATHER OF 4,Offset,2/22/2019,USUG11802308,"2,231",30.3,1
I love you,I love you,Dadju,12/8/2023,FR8FB2328300,"2,247",30.2,0
Loucura,Amor e ï¿½ï¿,Borges,12/12/2023,BCM9A2300102,"2,248",30.2,1
Forget About Us,Forget About Us,Perrie,4/12/2024,GBARL2400078,"2,245",30.2,0
One Last Time,My Everything,Ariana Grande,8/21/2014,USUM71409723,"2,243",30.2,0
Malas Decisiones,K23,Kenia OS,10/27/2022,MXF012200331,"2,246",30.2,0
Dos Mil 16,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214889,"2,249",30.2,0
La Vaca Lola,Las 20 Mejores Canciones Infantiles,Toy Cantando,6/10/2013,COA3C1500662,"2,250",30.2,0
Termina Comigo Antes,Termina Comigo Antes,Gusttavo Lima,3/31/2022,BXBAL2200001,"2,241",30.2,0
Baarish,Baarish,Payal Dev,8/11/2020,INUM72000050,"2,244",30.2,0
ZITTI E BUONI,ZITTI E BUONI,Mï¿½ï¿½ne,3/3/2021,ITB002100112,"2,242",30.2,1
Dijeron Que No La Iba Lograr,Dijeron Que No La Iba a Lograr,Chino Pacas,3/14/2023,USA2P2313930,"2,254",30.1,0
Is It Love,Is It Love,Loreen,10/13/2023,SEUM72301218,"2,252",30.1,0
Feel It Still,Feel It Still,Portugal. The Man,3/2/2017,USAT21700437,"2,263",30.1,0
Portobello Beach,Passport,Quiet as a Mouse,10/21/2022,GBMJG2221437,"2,255",30.1,0
MotorSport,MotorSport,Migos,10/27/2017,USUM71712002,"2,262",30.1,1
Bad At Love,hopeless fountain kingdom (Deluxe),Halsey,6/2/2017,USUM71702220,"2,265",30.1,0
Nevada,Nevada,YoungBoy Never Broke Again,1/30/2021,USAT22103399,"2,251",30.1,1
The Adults Are Talking,The New Abnormal,The Strokes,4/10/2020,USRC11902726,"2,264",30.1,0
Melhor Eu Ir / Ligando os Fatos / Sonho de Amor / Deixa Eu Te Querer (Ao Vivo),Churrasquinho do Menos ï¿½ï¿½ Mais (Ao V,Grupo Menos ï¿½ï¿½ ,4/23/2020,USDY42060410,"2,260",30.1,0
Hips Don't Lie (feat. Wyclef Jean),Oral Fixation Vol. 2,Shakira,1/1/2005,USSM10600677,"2,257",30.1,0
Overdose,Overdose - Single,natori,9/7/2022,JPU902203154,"2,259",30.1,0
Techno Cumbia (Remasterizado 2024/30th Anniversary),Amor Prohibido (Remasterizado 2024/30th Anniversary),Selena,3/22/2024,USUM72402911,"2,256",30.1,0
Tak Segampang Itu,Tak Segampang Itu,Anggi Marito,12/2/2022,IDUM72200281,"2,253",30.1,0
Emotionally Scarred,My Turn,Lil Baby,2/28/2020,USUG12000034,"2,261",30.1,1
When It Rains It Pours,This One's for You,Luke Combs,6/2/2017,QZ4751600015,"2,258",30.1,0
If I Didn't Love You,If I Didn't Love You,Jason Aldean,7/23/2021,QMRSZ2101546,"2,268",30.0,0
NO ME QUIERO CASAR,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,QMFME2364196,"2,269",30.0,1
UNHEALTHY (feat. Shania Twain),UNHEALTHY (feat. Shania Twain),Anne-Marie,5/18/2023,GBAHS2300345,"2,274",30.0,0
ATORRANTE - con Los Palmeras,ATORRANTE - con Los Palmeras,Emanero,7/5/2023,ARP7V2300023,"2,280",30.0,0
"Praise (feat. Brandon Lake, Chris Brown & Chandler Moore)",CAN YOU IMAGINE?,Elevation Worship,5/19/2023,USPJT2300015,"2,284",30.0,0
greedy,greedy - Single,Tate McRae,9/15/2023,USRC12301975,"2,281",30.0,0
El Mejor,El Mejor,Chayï¿½ï¿½n R,10/27/2023,TCAHK2398379,"2,282",30.0,1
Take Me to Church,Take Me to Church EP,Hozier,9/13/2013,USSM11307291,"2,276",30.0,0
Roses,Roses,The Chainsmokers,6/16/2015,USQX91500801,"2,270",30.0,0
Close Friends (Lil Baby & Gunna),Drip Harder,Lil Baby,10/4/2018,USUG11801853,"2,267",30.0,1
"0 Sentimientos (Remix) [feat. Baby Rasta, Noriel, Darkiel, Messiah & Lyan]",Chosen Few: New Generation,Boy Wonder CF,11/21/2023,BK4DA2319487,"2,272",30.0,0
BEBï¿,BEBï¿,Camilo,11/25/2020,USSD12000562,"2,277",30.0,0
Propuesta Indecente,Caliente! Latino Hitmix 2013,Romeo Santos,1/1/2013,USSD11300197,"2,266",30.0,0
Palhaï¿½ï¿½a (Ao V,Palhaï¿½ï¿½a (Ao Vivo) - Si,Naiara Azevedo,1/12/2023,BX8WE2200062,"2,271",30.0,0
Atmosphere,Atmosphere,FISHER,8/11/2023,QZA742318982,"2,278",30.0,0
Eid,Eid,Mehmood J,6/24/2022,USANG2274868,"2,273",30.0,0
Money In The Grave (Drake ft. Rick Ross),The Best In The World Pack,Drake,6/15/2019,USCM51900318,"2,275",30.0,1
BABY NUEVA,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,QMFME2364191,"2,283",30.0,1
ýýýýýýýýýý ýýýý ýýýýýý ýýýýýýýý,ýýýýýýýýýý ýýýý ýýýýýý ýýýýýýýý - Single,ýýýýýýýýýý ýýýýýýýý,12/8/2022,DGA082213263,"2,279",30.0,0
Escapate Conmigo,Nacimiento,Wisin,1/19/2018,QZAPG1864732,"2,298",29.9,0
Lighter,Lighter (Extended Mix),Galantis,2/16/2024,USAT22400413,"2,295",29.9,0
"Halli Naatu (From ""Rrr"")","Halli Naatu (From ""Rrr"") - Single",Rahul Sipligunj,11/10/2021,INS182115577,"2,293",29.9,0
Happier,ýý (Deluxe),Ed Sheeran,3/3/2017,GBAHS1700028,"2,287",29.9,0
Kill Em With Kindness,Revival (Deluxe),Selena Gomez,10/9/2015,USUM71513588,"2,290",29.9,0
Good Love,Good Love,Hannah Laing,5/12/2023,GBUM72304092,"2,296",29.9,0
Little Girl Gone,Little Girl Gone,CHINCHILLA,4/21/2023,GBGLW2300286,"2,297",29.9,1
Ella Quiere Beber - Remix,Ella Quiere Beber (Remix),Anuel AA,11/2/2018,QM6P41842818,"2,299",29.9,0
Blicky,Blicky,Fresh X Reckless,1/11/2023,TCAGT2316203,"2,292",29.9,1
Baby (Lil Baby feat. DaBaby),Baby,Quality Control,7/17/2019,USUG11900748,"2,294",29.9,1
Hotel,Hotel,Montell Fish,9/16/2022,QZVBE2200009,"2,291",29.9,0
Mas Altas Que Bajadas,Nata Montana,Natanael Cano,6/30/2023,USWL12301031,"2,288",29.9,1
Somewhere Only We Know,Somewhere Only We Know,Gustixa,9/5/2022,QZNWV2251985,"2,286",29.9,0
X1,Little Hair,MC Cabelinho,12/20/2021,QZTVM2103308,"2,285",29.9,1
Baby Shark,Pinkfong Bebefinn (Pt. 1),Bebefinn,8/26/2022,QM6P42230294,"2,289",29.9,0
DISPARA ***,DISPARA ***,Nicki Nicole,5/17/2023,UYB282300010,"2,301",29.8,1
Burn,Halcyon,Ellie Goulding,1/1/2012,GBUM71303482,"2,306",29.8,0
By Your Side,By Your Side,Rod Wave,11/22/2021,USQX92105590,"2,303",29.8,1
Very Sad,Very Sad,Enchan,11/23/2022,SGB502288016,"2,309",29.8,1
No Te Contaron Mal,No Te Contaron Mal,Christian Nodal,9/7/2018,MXUM71801874,"2,312",29.8,0
When We Were Young,25,Adele,11/20/2015,GBBKS1500217,"2,305",29.8,0
Miracle (Extended),Miracle (with Ellie Goulding) [Remixes],Calvin Harris,6/16/2023,GBARL2300301,"2,314",29.8,0
Zapateado Encabronado #3,Nuestra Historia de Voces Ediciï¿½ï¿½n de Oro 25 a,Alacranes Musical,3/22/2024,GBLFP2486472,"2,300",29.8,0
Ainï¿½ï¿½ï¿½t Tha,One Thing At A Time,Morgan Wallen,3/3/2023,USUG12300807,"2,302",29.8,1
I Am Your Gummy Bear (The Gummy Bear Song),Gummybear Song,Gummibï¿½,1/1/2007,USR3R0700073,"2,307",29.8,0
Do It Again (feat. 2Rare),Do It Again (feat. 2Rare),NLE Choppa,10/7/2022,USWB12205833,"2,313",29.8,1
Te Felicito,"Unas Mï¿½ï¿½as y Otras Prestadas, Vo",Gerardo Coronel,11/11/2022,QZDQH2204268,"2,308",29.8,0
Funny Song,Funny Song,Bruno Portinho Trilhas para filmes,3/7/2023,SGB502330766,"2,310",29.8,0
The Smallest Man Who Ever Lived,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,USUG12401041,"2,304",29.8,1
Loading,Loading,Central Cee,10/22/2020,ZZOPM2003512,"2,311",29.8,1
Tek Tek (feat. MHD),Tek Tek (feat. MHD),DYSTINCT,5/11/2023,NL2BN2300036,"2,326",29.7,0
Everyday Hustle,WE DON'T TRUST YOU,Future,3/22/2024,USSM12402030,"2,319",29.7,1
Dos Besitos,Dos Besitos,La Joaqui,10/27/2022,ARACN2200010,"2,320",29.7,0
Deep Down (feat. Never Dull),Deep Down (feat. Never Dull),Alok,6/17/2022,DEE862200810,"2,318",29.7,0
No Me Conoce - Remix,No Me Conoce (Remix),Jhay Cortez,5/17/2019,USUM71908293,"2,322",29.7,0
ýýCýýmo Pasýý?,ýýCýýmo Pasýý?,Ela Taubert,2/14/2024,USUM72400711,"2,324",29.7,0
Freaky Friday (feat. Chris Brown),Freaky Friday (feat. Chris Brown),Lil Dicky,3/15/2018,QMRSZ1800280,"2,321",29.7,1
Still Rollin,Still Rollin,Shubh,5/19/2023,QM6P42332209,"2,325",29.7,0
Safe And Sound,Capital Cities EP,Capital Cities,1/1/2012,USCA21203108,"2,317",29.7,0
Mal Hombre,Mal Hombre,Kim Loaiza,10/25/2023,USWL12302769,"2,323",29.7,0
Teeth,Teeth,5 Seconds of Summer,8/21/2019,USUG11902528,"2,315",29.7,0
I Took A Pill In Ibiza,The Truth,Mike Posner,6/22/2015,USUM71503636,"2,316",29.7,1
Run Free,Run Free,Deep Chills,8/18/2017,NLYK91700007,"2,334",29.6,0
In The Dark,In the Dark,Purple Disco Machine,1/21/2022,AUDCB1701963,"2,330",29.6,0
Felina,Felina,WIU,9/22/2022,BXW922200018,"2,331",29.6,0
Meet you at the Graveyard,"Clean Sheets, dirty walls",Cleffy,10/6/2023,TCAHM2333379,"2,327",29.6,1
Sexy to Someone,Sexy to Someone,Clairo,5/23/2024,USA2P2416224,"2,329",29.6,0
Se Le Ve,"Se Le Ve (feat. Justin Quiles, Arcangel, De La Ghetto, Lenny Tavï¿½ï¿½rez & Dï¿½ï¿½melo Flow) ",Dï¿½ï¿½melo ,8/12/2021,QM9WM2100063,"2,332",29.6,1
Coraï¿½ï¿½ï¿½ï¿½o,Manual de Como Amar Errado,WIU,11/29/2022,BXW922200010,"2,333",29.6,1
FEARLESS,FEARLESS,LE SSERAFIM,5/2/2022,USA2P2219222,"2,328",29.6,0
Let It Go,Let It Go,James Bay,1/1/2014,USUM71405265,"2,338",29.5,0
Where It Ends,Where It Ends,Bailey Zimmerman,8/19/2022,USWB12202445,"2,343",29.5,0
drivers license,drivers license,Olivia Rodrigo,1/8/2021,USUG12004750,"2,341",29.5,0
Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),Pros Menorzin (feat. DJ Biel do Furduncinho),L7NNON,4/8/2022,BR5TG2200015,"2,340",29.5,0
Carry You Home,Carry You Home,Alex Warren,5/31/2024,USAT22403017,"2,339",29.5,0
City Boys,Workout Rap 2024,Burna Boy,2/23/2022,USAT22307528,"2,342",29.5,1
Wellerman - Sea Shanty,Wellerman (Sea Shanty),Nathan Evans,1/21/2021,GBUM72100297,"2,336",29.5,0
Every Summertime,Every Summertime,NIKI,8/10/2021,USUM72114018,"2,346",29.5,0
MANDA BALA,MANDA BALA,Ariis,12/8/2023,GBLV62301933,"2,344",29.5,0
Walk It Talk It,Culture II,Migos,1/26/2018,USUM71800983,"2,337",29.5,1
TQMQA,TQMQA - Single,Eladio Carrion,12/14/2023,QMFMG2300652,"2,335",29.5,0
Face Off,Face Off,Tech N9ne,10/7/2021,USZHR2100088,"2,347",29.5,1
Otra vez (feat. J Balvin),Motivan2,Zion & Lennox,9/30/2016,USWL11600244,"2,345",29.5,0
BOOKER T,EL ï¿½ï¿½LTIMO TOUR DEL M,Bad Bunny,11/27/2020,QMFME2066844,"2,351",29.4,1
Girls Never Die,<ASSEMBLE24>,tripleS,5/8/2024,KRA382402695,"2,352",29.4,0
"24/7, 365","24/7, 365",elijah woods,7/24/2023,QZNWU2345439,"2,359",29.4,0
POCPOC,POCPOC,PEDRO SAMPAIO,11/23/2023,BRWMB2301411,"2,360",29.4,0
Je M'appelle,Je M'appelle,Benzz,4/21/2022,GBUM72202219,"2,358",29.4,1
Soap,Soap,Melanie Martinez,7/10/2015,USAT21501777,"2,349",29.4,0
Bam Yang Gang,Bam Yang Gang,BIBI,2/13/2024,KRA382401062,"2,357",29.4,0
Never Forget You,Never Forget You,Zara Larsson,9/10/2015,SEWEE1500801,"2,348",29.4,0
Tyler Herro,Tyler Herro,Jack Harlow,10/22/2020,USAT22006588,"2,355",29.4,1
"i hate u, i love u (feat. olivia o'brien)","i hate u, i love u (feat. olivia o'brien)",gnash,2/17/2016,USAT21601051,"2,354",29.4,1
Ophelia,Ophelia,The Lumineers,2/5/2016,USDMG1673802,"2,350",29.4,0
Manos Rotas,Manos Rotas,DELLAFUENTE,11/16/2023,QMFMF2333158,"2,356",29.4,0
Ella No Es Tuya - Remix,Ella No Es Tuya (Remix),Rochy RD,2/3/2021,USSD12100003,"2,353",29.4,0
Satellite,Harry's House,Harry Styles,5/20/2022,USSM12200619,"2,373",29.3,0
La Santa,YHLQMDLG,Bad Bunny,2/29/2020,QM4TX2030933,"2,361",29.3,1
Tera Ban Jaunga,Kabir Singh,Akhil Sachdeva,6/14/2019,INS181903758,"2,372",29.3,0
Monï¿½ï¿½y so,Up 2 Mï¿,Yeat,9/10/2021,USLD91734275,"2,368",29.3,1
Ranjha Maahi,Ranjha Maahi - Single,Siddhant,1/12/2023,INS172224058,"2,375",29.3,0
Hotline Bling,Trevor Nelson Club Classics,Drake,11/4/2016,USCM51600102,"2,367",29.3,0
Sure Thing,All I Want Is You,Miguel,5/25/2010,USJI10800160,"2,362",29.3,0
Talibans,No Love,Byron Messia,1/20/2023,QZFZ22348066,"2,371",29.3,1
Love Story (Taylorï¿½ï¿½ï¿½s Ve,Love Story (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,2/12/2021,USUG12100342,"2,363",29.3,0
Skin de Bandida,Skin de Bandida - Single,Oscar Maydon,9/22/2023,QM3DF2294123,"2,364",29.3,1
Escapism. - Sped Up,Escapism. (Sped Up),RAYE,11/25/2022,QMFME2222462,"2,376",29.3,1
Lisa,Lisa,Young Miko,3/3/2023,QZXD92300001,"2,365",29.3,1
I Can Feel It,I Can Feel It - Single,Kane Brown,9/21/2023,USRN12300040,"2,369",29.3,0
ýýýý ýýýý ýýýýýýýý,ýýýý ýýýý ýýýýýýýý - Single,ýýýýýýýý ýýýýýýýýýýýý,5/2/2024,CAQ8S1636173,"2,374",29.3,0
you should see me in a crown,you should see me in a crown,Billie Eilish,7/18/2018,USUM71810049,"2,370",29.3,0
Te Robarï¿,Te Robarï¿,Nicky Jam,3/22/2019,USSD11900072,"2,366",29.3,0
Rewrite The Stars (with James Arthur & Anne-Marie),Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,10/25/2018,USAT21811554,"2,377",29.2,0
FBI,FBI,Picus,2/29/2024,MXUM72400426,"2,386",29.2,0
Come and Say - Original Mix,Relyt Conections 3,"""XY""",11/14/2022,ES98I2200881,"2,379",29.2,0
Somebody (2024),Somebody (2024),Gotye,2/9/2024,GBUM72311281,"2,378",29.2,0
Dandelions,Dandelions,Ruth B.,4/28/2017,USSM11703468,"2,383",29.2,0
Malvada,Malvada,Zï¿½ï¿½ Fe,1/28/2022,BRTLW2100037,"2,382",29.2,0
I Love You So,I Love You So,The Walters,11/28/2014,TCACC1438995,"2,394",29.2,0
i love you,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,3/29/2019,USUM71900773,"2,390",29.2,0
Not Fair,Not Fair,Niklas Dee,6/2/2023,DEN062300306,"2,392",29.2,0
Benjamins Deli,Benjamins Deli - Single,JRitt,10/24/2023,QZTBA2358000,"2,389",29.2,0
Him & I (with Halsey),Him & I,G-Eazy,11/30/2017,USRC11701867,"2,384",29.2,1
STAY (with Justin Bieber),Stay,The Kid LAROI,7/9/2021,USSM12104470,"2,385",29.2,0
TIKTOK,TIKTOK,Ian Lucas,5/23/2024,ARAE52400089,"2,381",29.2,0
Call Your Friends,Call Your Friends - Single,Rod Wave,8/18/2023,USQX92304741,"2,395",29.2,1
Rosa Pastel,Rosa Pastel,Peso Pluma,4/20/2023,QM4TX2394694,"2,391",29.2,1
Dirt Cheap,Leather,Cody Johnson,11/3/2023,QMCQK1900317,"2,387",29.2,0
Borderline,The Slow Rush,Tame Impala,2/14/2020,AUUM71900956,"2,380",29.2,0
Tï¿,Encerrados Pero Enfiestados (Live Vol. 1),Carin Leon,5/22/2020,USDXS2007349,"2,393",29.2,0
No Time To Die,No Time To Die,Billie Eilish,2/13/2020,USUM72002771,"2,388",29.2,0
All Eyes on Me,All Eyes on Me - Single,Dj Belite,12/20/2022,TCAGR2239010,"2,401",29.1,1
En El Radio Un Cochinero,En El Radio Un Cochinero,Victor Cibrian,5/13/2022,USDXS2201437,"2,399",29.1,0
Safari,Energï¿½,J Balvin,6/3/2016,USUM71604778,"2,402",29.1,0
comethru,comethru,Jeremy Zucker,9/7/2018,USUM71813455,"2,405",29.1,0
ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý - Single,ýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýý,4/5/2024,FRX282414002,"2,403",29.1,0
ROCKSTAR,$AD BOYZ 4 LIFE II,Junior H,10/5/2023,QZ9QQ2300720,"2,404",29.1,1
Boy's a liar,Boy's a liar,PinkPantheress,11/30/2022,GBAYE2202560,"2,400",29.1,0
O Patinho Colorido,"Bento e Totï¿½ï¿½, Vo",Bento e Totï¿,11/15/2019,BX7CP1900008,"2,396",29.1,0
La Mejor Version de Mi,La Mejor Versiï¿½ï¿½n d,NATTI NATASHA,2/12/2019,USB271900112,"2,398",29.1,0
B.O.T.A. (Baddest Of Them All),B.O.T.A. (Baddest Of Them All) / Move To The,Eliza Rose,6/15/2022,QZAKB2166448,"2,397",29.1,0
Love Terremoto - Ao Vivo,"Resenha Preferida, Vol. 2 (Ao Vivo)",Os Barï¿½ï¿½es Da Pisad,8/3/2022,BXDW72200033,"2,413",29.0,0
Lucky Girl Syndrome,SUPER REAL ME,ILLIT,3/25/2024,USA2P2413261,"2,408",29.0,0
...Baby One More Time (from Kung Fu Panda 4),Kung Fu Panda 4 (Original Motion Picture Soundtrack),Tenacious D,3/8/2024,USQ4E2205653,"2,406",29.0,0
Little Dark Age,Little Dark Age,MGMT,10/17/2017,USSM11707035,"2,415",29.0,0
Una Lady Como Tï¿,Una Lady Como Tï¿,Manuel Turizo,12/1/2016,QZ5AB1708080,"2,409",29.0,0
Whatever She Wants,Whatever She Wants,Bryson Tiller,2/12/2024,USRC12400300,"2,418",29.0,0
Hypnotized,Hypnotized,Purple Disco Machine,4/8/2020,AUDCB1701555,"2,419",29.0,0
Diable,Bocaterrosa,Ven'nus,2/28/2023,ES11D2300869,"2,423",29.0,0
Laung Laachi Title Track,"Laung Laachi Title Track (From ""Laung Laachi"")",Mannat Noor,2/22/2018,INS181800353,"2,422",29.0,0
Chunni Me Perfume Lagawe,Chunni Me Perfume Lagawe - Single,Gajendra Gurjar,6/13/2022,INN852200075,"2,412",29.0,0
Koka,Koka,Mankirt Aulakh,11/6/2023,INSD11935132,"2,417",29.0,0
ELEVEN,ELEVEN,IVE,12/1/2021,KRA382163861,"2,407",29.0,0
Hasta el Amanecer,Hasta el Amanecer,Nicky Jam,1/15/2016,COC011531204,"2,411",29.0,0
Space Cadet (feat. Gunna),NOT ALL HEROES WEAR CAPES,Metro Boomin,11/2/2018,USUG11802484,"2,416",29.0,1
Poker Face ( Remix ),Poker Face ( Remix ),Bora Media,10/17/2023,ES64E2323174,"2,410",29.0,0
November Rain (2022 Version),November Rain / Double Talkin' Jive / You Could Be Mine,Guns N' Roses,11/4/2022,USUG12200195,"2,420",29.0,0
ýýýýýýýýýýýý ýýýýýýýýýýýý,The End,Lusia Chebotina,10/29/2021,QMDA62163216,"2,421",29.0,0
We Ride,We Ride - Single,Bryan Martin,10/28/2022,QMDPP2201707,"2,414",29.0,1
Rich Spirit,Mr. Morale & The Big Steppers,Kendrick Lamar,5/13/2022,USUM72208971,"2,437",28.9,1
Cochinae,Querian Perreo?,Julianno Sosa,4/19/2022,QZQAY2209019,"2,438",28.9,1
Juju On That Beat (TZ Anthem),Juju On That Beat (TZ Anthem),Zay Hilfigerrr,9/30/2016,USAT21602928,"2,427",28.9,0
I'm Not The Only One,In The Lonely Hour (Deluxe),Sam Smith,1/1/2014,GBUM71308836,"2,428",28.9,0
Murder,Murder,Bgnzinho,2/14/2023,SGB502322635,"2,431",28.9,1
Major Distribution,Her Loss,Drake,11/4/2022,USUG12208599,"2,430",28.9,1
Psikopat,Psikopat,Butrint Imeri,5/16/2024,QZNFJ2402312,"2,426",28.9,0
Piï¿½ï¿½man Deï¿,Piï¿½ï¿½man Deï¿½ï¿½ilim ,Semicenk,6/2/2023,FRX762391695,"2,434",28.9,0
Dynamite,Rokstarr (Special Edition),Taio Cruz,1/1/2010,GBUM71003721,"2,439",28.9,0
Chlorine,Trench,Twenty One Pilots,10/5/2018,USAT21810687,"2,425",28.9,0
GIVENCHY,Temporada de Reggaetï¿½ï¿,Duki,7/20/2022,UYB282240021,"2,436",28.9,1
Here,Here,Alessia Cara,4/30/2015,USUM71506251,"2,441",28.9,0
COME UN TUONO (feat. Guï¿½,RADIO SAKURA,Rose Villain,3/7/2024,ITQ002400077,"2,433",28.9,1
Favorito,Favorito,Camilo,3/26/2020,USSD12000055,"2,435",28.9,0
Royalty,Royalty,Egzod,4/22/2021,GB2LD2110089,"2,432",28.9,0
Am I Wrong,More Music 2013,Nico & Vinz,1/1/2013,USWB11304681,"2,440",28.9,0
Tennessee Orange,Tennessee Orange,Megan Moroney,9/2/2022,TCAGJ2289254,"2,424",28.9,0
Tennessee Orange,Tennessee Orange,Megan Moroney,9/2/2022,TCAGJ2289254,"2,424",28.9,0
Still Trappin' (with King Von),The Voice,Lil Durk,12/24/2020,USUM72024651,"2,448",28.8,1
De Fresa y Coco,De Fresa y Coco,Luis R Conriquez,11/10/2023,QMANG2226771,"2,445",28.8,0
He Dead (Oil Thief Remix),REMXNG 2.1,clipping.,9/21/2022,USSUB2246603,"2,456",28.8,0
YUM YUM (Slowed),YUM YUM,LXNGVX,6/23/2023,GB8KE2311722,"2,450",28.8,1
Issues,Issues,Julia Michaels,1/13/2017,USUM71615691,"2,446",28.8,0
Element,Meet The Woo 2,Pop Smoke,2/7/2020,USUM72002041,"2,457",28.8,1
n.h.i.e.,n.h.i.e.,21 Savage,1/10/2024,USSM12304895,"2,459",28.8,1
GOD'S COUNTRY,UTOPIA,Travis Scott,7/28/2023,USSM12305008,"2,455",28.8,1
Parado no Bailï¿½,Parado no Bailï¿½,MC L da Vinte,7/23/2018,QZ5AB2004464,"2,442",28.8,0
El Paso del Gigante,Los Reyes de los Sonidos,Grupo Soï¿½ï¿½,11/24/2023,QZW9L2351948,"2,444",28.8,0
F Boy,F Boy,Ander Huang,8/22/2020,QZHNC2078374,"2,451",28.8,1
"Yo x Ti, Tu x Mi","Yo x Ti, Tu x Mi",ROSALï¿½,8/15/2019,USSM11900596,"2,452",28.8,0
Say It,Say It,Tory Lanez,7/31/2015,USUM71510633,"2,447",28.8,1
Ain't Shit,Planet Her,Doja Cat,6/25/2021,USRC12101540,"2,454",28.8,1
Dancing With Your Ghost,Dancing With Your Ghost,Sasha Alex Sloan,6/28/2019,USRC11901644,"2,458",28.8,0
SIRENS,UTOPIA,Travis Scott,7/28/2023,USSM12305009,"2,449",28.8,1
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich The Kid) ,Matuï¿,4/30/2023,BXW922200014,"2,453",28.8,1
2 Hielos,2 Hielos,King Savagge,2/2/2023,QM4TW2352901,"2,443",28.8,1
BAD BOY,BAD BOY,Chris Jedi,2/7/2024,QZZU32400012,"2,474",28.7,1
I Love Mama Mantu,I Love Mama Mantu,Bulan Sutena,11/1/2021,FRX872121045,"2,468",28.7,0
Hall of Fame (feat. will.i.am),NRJ Hits 17,The Script,1/1/2012,GBARL1201055,"2,465",28.7,0
